CAxisLocation_0,CAxisLocation_1,CAxisLocation_2
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.60815167,0.76160288,0.22385857
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
-0.85866588,0.21906498,0.46336114
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.14398883,0.98814476,0.05326578
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.55414039,0.75691372,0.34642488
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.60815167,0.76160288,0.22385857
0.55414039,0.75691372,0.34642488
