CAxisLocation_0,CAxisLocation_1,CAxisLocation_2
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.99888319,0.043097887,0.019363472
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.8867861,-0.16850837,0.43036652
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.26206762,-0.23996948,0.93473804
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.73235637,0.66899735,0.12687281
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
-0.99888319,0.043097887,0.019363472
