CAxisLocation_0,CAxisLocation_1,CAxisLocation_2
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.97076726,-0.1904192,0.14612152
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.29267195,-0.83981162,0.45723042
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
0.52799988,0.6742456,0.51634192
